波士頓塞爾蒂克,Brad Stevens,東區聯盟,2,73.1%
12月 14日,密爾瓦基公鹿,114,127
117.8
紐奧良鵜鶘,Alvin Gentry,西區聯盟,14,23.3%
Jrue,Holiday,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png
Brandon,Ingram,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png
JJ,Redick,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200755.png
Josh,Hart,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png
Lonzo,Ball,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
12月 24日,波特蘭拓荒者,11:00,0
12月 21日,金州勇士,102,106
12月 19日,明尼蘇達灰狼,107,99
12月 18日,布魯克林籃網,101,108
12月 16日,奧蘭多魔術,119,130
12月 14日,費城76人,109,116
107.6
聖安東尼奧馬刺,Gregg Popovich,西區聯盟,10,40.7%
DeMar,DeRozan,後衛-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png
LaMarcus,Aldridge,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png
Bryn,Forbes,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627854.png
Derrick,White,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png
Patty,Mills,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201988.png
12月 22日,洛杉磯快艇,9:30,0
12月 20日,布魯克林籃網,118,105
12月 17日,休士頓火箭,107,109
12月 15日,鳳凰城太陽,121,119
12月 13日,克里夫蘭騎士,109,117
12月 7日,沙加緬度國王,105,104
112.0
